panda polar_bear dog mouse
17 57 25 5
11 24 25 9
3 15 11 10
6 8 7 8
2 8 1 18
6 9 8 4
3 9 7 8
4 12 7 3
4 16 5 1
3 18 2 3
6 8 6 5
2 14 6 3
4 8 8 4
1 1 1 21
5 7 5 6
3 6 4 8
2 10 5 4
4 14 2 1
3 8 1 9
2 1 5 12
2 4 4 10
4 8 5 3
3 10 5 2
1 1 13 5
3 5 6 5
5 5 5 3
1 12 4 1
3 4 2 8
2 6 3 6
4 6 4 3
5 6 5 1
2 6 4 5
3 4 5 5
1 2 2 12
2 10 1 4
4 5 5 2
4 4 4 4
3 7 5 1
2 10 2 2
5 3 4 3
3 5 3 4
4 5 3 3
4 10 1 0
2 3 2 8
1 2 0 12
0 0 0 15
2 2 4 6
2 2 2 8
2 3 3 6
2 3 2 7
3 4 4 2
2 2 3 6
3 4 4 2
2 3 5 3
2 4 3 4
2 4 3 4
3 3 3 3
3 6 1 2
4 3 3 2
2 8 1 1
2 3 3 4
3 3 3 3
2 3 4 2
2 5 2 2
3 3 3 2
3 5 1 2
3 1 3 4
2 2 4 3
0 1 3 7
1 1 0 9
4 3 1 2
2 5 2 1
3 3 3 1
3 4 2 1
2 4 4 0
3 4 1 2
2 4 2 2
2 4 2 2
1 3 3 3
1 3 3 3
1 2 1 6
0 5 0 5
2 2 2 4
0 0 0 10
2 2 2 3
2 5 1 1
3 2 2 2
2 4 1 2
4 3 2 0
0 1 3 5
0 1 6 2
1 4 4 0
1 3 3 2
1 2 4 2
1 4 2 2
0 4 2 3
1 3 3 2
2 2 3 2
0 0 0 9
1 2 1 5
0 1 0 8
1 0 0 8
1 4 2 2
1 1 0 7
2 2 2 3
0 0 0 9
2 2 2 2
2 2 2 2
2 1 3 2
3 1 2 2
2 1 2 3
2 2 2 2
1 4 2 1
2 2 2 2
1 2 3 2
2 2 2 2
1 2 0 5
1 2 2 3
1 1 1 5
1 2 1 4
2 3 1 2
1 2 2 3
0 0 0 8
2 5 0 1
1 6 1 0
2 2 1 2
2 1 2 2
2 1 2 2
2 4 1 0
2 2 2 1
2 2 2 1
2 1 3 1
2 2 2 1
2 1 2 2
2 1 3 1
2 2 1 2
0 2 2 3
1 2 2 2
1 2 2 2
1 2 2 2
1 2 2 2
0 2 2 3
1 2 3 1
1 2 2 2
1 3 3 0
0 3 3 1
1 2 1 3
1 2 0 4
1 1 0 5
1 0 1 5
1 1 1 4
0 0 0 7
1 2 1 3
2 2 1 2
0 5 1 1
1 2 2 2
2 2 1 2
2 1 2 1
2 2 2 0
3 0 2 1
2 1 2 1
3 3 0 0
2 2 1 1
2 0 2 2
1 1 2 2
1 2 2 1
0 2 2 2
1 1 3 1
1 2 2 1
1 2 2 1
0 2 2 2
1 3 2 0
0 2 2 2
1 2 1 2
1 1 1 3
0 2 1 3
0 2 1 3
1 0 0 5
1 1 1 3
1 1 1 3
1 1 1 3
1 1 1 3
1 2 1 2
1 2 1 2
1 2 1 2
1 1 0 4
0 0 0 6
1 1 1 3
1 2 2 1
0 4 1 1
0 4 1 1
1 5 0 0
1 3 1 1
1 2 2 1
1 2 2 1
2 2 1 0
2 2 1 0
2 1 1 1
2 0 1 2
1 1 2 1
1 1 2 1
1 1 2 1
1 2 2 0
1 2 2 0
1 0 2 2
0 2 2 1
1 1 2 1
1 1 2 1
1 1 3 0
0 2 2 1
0 3 2 0
1 1 1 2
1 2 0 2
1 1 0 3
1 1 1 2
1 1 0 3
0 0 0 5
0 0 0 5
1 1 1 2
0 2 1 2
0 1 1 3
0 2 1 2
1 1 1 2
1 1 1 2
1 1 1 2
1 1 1 2
0 0 0 5
1 1 0 3
1 1 1 2
1 1 1 2
0 2 1 2
1 1 1 2
1 1 1 2
1 1 1 2
1 1 1 2
